AMLP,Alerian MLP ETF,"3,099,844","$6,410.9 M"
HYG,iBoxx $ High Yield Corporate Bond Fund,"3,084,633","$15,836.0 M"
EPI,India Earnings Fund,"3,020,188","$1,038.8 M"
VEA,Europe Pacific,"2,948,597","$13,968.3 M"
SH,Short S&P500,"2,870,159","$1,774.3 M"
BKLN,Senior Loan Portfolio,"2,734,506","$4,320.9 M"
SPLV,S&P 500 Low Volatility Portfolio,"2,672,339","$5,017.2 M"
MDY,SPDR MidCap Trust Series I,"2,623,058","$12,571.8 M"
VNQ,REIT ETF,"2,611,342","$20,703.7 M"
VIXY,VIX Short-Term Futures ETF,"2,469,119",$222.1 M
IWF,Russell 1000 Growth,"2,413,952","$19,647.2 M"
EWC,MSCI Canada Index Fund,"2,376,997","$4,067.7 M"
QLD,Ultra QQQ,"2,294,869",$521.9 M
EZU,MSCI EMU Index Fund,"2,286,434","$2,265.0 M"
DBC,DB Commodity Index Tracking Fund,"2,213,055","$5,643.5 M"
VGK,FTSE Europe ETF,"2,158,339","$5,920.9 M"
TWM,UltraShort Russell2000,"2,115,380",$360.2 M
EWY,MSCI South Korea Index Fund,"2,106,505","$3,365.5 M"
EWA,MSCI Australia Index Fund,"2,099,106","$2,388.5 M"
SQQQ,UltraPro Short QQQ,"2,017,208",$209.2 M
SMH,Market Vectors Semiconductor ETF,"1,969,778",$316.0 M
LQD,iBoxx $ Investment Grade Corporate Bond Fund,"1,963,484","$23,386.2 M"
EWI,MSCI Italy Index Fund,"1,934,383",$730.9 M
UCO,Ultra DJ-UBS Crude Oil,"1,921,264",$227.2 M
TQQQ,UltraPro QQQ,"1,888,558",$227.6 M
KBE,SPDR S&P Bank ETF,"1,853,903","$2,160.4 M"
EWM,MSCI Malaysia Index Fund,"1,850,239","$1,043.3 M"
VTI,Total Stock Market ETF,"1,814,903","$31,151.0 M"
AGQ,Ultra Silver,"1,710,667",$544.4 M
EWU,MSCI United Kingdom Index Fund,"1,695,841","$1,692.4 M"
KRE,SPDR S&P Regional Banking ETF,"1,662,627","$1,546.5 M"
PFF,S&P US Preferred Stock Fund,"1,647,530","$12,484.8 M"
IWD,Russell 1000 Value,"1,622,055","$18,093.7 M"
VOO,S&P 500 ETF,"1,604,048","$9,716.1 M"
UPRO,UltraPro S&P 500,"1,546,573",$365.9 M
EWS,MSCI Singapore Index Fund,"1,468,867","$1,612.3 M"
AMJ,Alerian MLP Index ETN,"1,390,386","$6,087.2 M"
SPXL,Daily S&P 500 Bull 3x Shares,"1,353,912",$246.9 M
IWN,Russell 2000 Value Index Fund,"1,308,741","$5,393.3 M"
VIG,Dividend Appreciation ETF,"1,291,598","$16,104.3 M"
USMV,MSCI USA Minimum Volatility Index Fund,"1,274,228","$3,728.0 M"
